id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
49;31;0;31;1;3;my316;MT11;BT407;25;1_407_25;exp10;MT11 (ancestral-like, slightly fuzzy)
49;31;0;31;1;2;my316;MT11;BT407;25;1_407_25;exp10;MT11 (ancestral-like, slightly fuzzy)
49;29;1;30;0.966666667;1;my316;MT11;BT407;25;1_407_25;exp10;MT11 (ancestral-like, slightly fuzzy)
50;11;14;25;0.44;2;my316;MT14;BT247;25;4_247_25;exp10;MT14 (wrinkly)
50;24;10;34;0.705882353;1;my316;MT14;BT247;25;4_247_25;exp10;MT14 (wrinkly)
50;19;5;24;0.791666667;3;my316;MT14;BT247;25;4_247_25;exp10;MT14 (wrinkly)
55;27;3;30;0.9;2;my316;MT14;BT247;50;3_247_50;exp10;MT14 (wrinkly)
55;29;1;30;0.966666667;1;my316;MT14;BT247;50;3_247_50;exp10;MT14 (wrinkly)
55;22;5;27;0.814814815;3;my316;MT14;BT247;50;3_247_50;exp10;MT14 (wrinkly)
57;29;0;29;1;1;my316;MYb11;BT247;50;3_247_50;exp10;MYb11
57;30;1;31;0.967741935;3;my316;MYb11;BT247;50;3_247_50;exp10;MYb11
57;35;0;35;1;2;my316;MYb11;BT247;50;3_247_50;exp10;MYb11
59;25;5;30;0.833333333;1;my316;MT13;BT247;50;3_247_50;exp10;MT13 (ancestral-like, colony size variation)
59;24;1;25;0.96;2;my316;MT13;BT247;50;3_247_50;exp10;MT13 (ancestral-like, colony size variation)
59;34;1;35;0.971428571;3;my316;MT13;BT247;50;3_247_50;exp10;MT13 (ancestral-like, colony size variation)
61;30;0;30;1;1;my316;MT13;BT407;25;1_407_25;exp10;MT13 (ancestral-like, colony size variation)
61;31;0;31;1;3;my316;MT13;BT407;25;1_407_25;exp10;MT13 (ancestral-like, colony size variation)
61;31;0;31;1;2;my316;MT13;BT407;25;1_407_25;exp10;MT13 (ancestral-like, colony size variation)
62;29;1;30;0.966666667;1;my316;MYb11;BT247;100;2_247_100;exp10;MYb11
62;26;0;26;1;2;my316;MYb11;BT247;100;2_247_100;exp10;MYb11
62;21;0;21;1;3;my316;MYb11;BT247;100;2_247_100;exp10;MYb11
67;25;0;25;1;1;my316;MYb11;BT407;25;1_407_25;exp10;MYb11
67;32;0;32;1;3;my316;MYb11;BT407;25;1_407_25;exp10;MYb11
67;27;0;27;1;2;my316;MYb11;BT407;25;1_407_25;exp10;MYb11
68;17;9;26;0.653846154;3;my316;MYb11;BT247;25;4_247_25;exp10;MYb11
68;14;10;24;0.583333333;1;my316;MYb11;BT247;25;4_247_25;exp10;MYb11
68;8;17;25;0.32;2;my316;MYb11;BT247;25;4_247_25;exp10;MYb11
71;30;0;30;1;2;my316;MT12;BT407;25;1_407_25;exp10;MT12 (wrinkly)
71;30;0;30;1;3;my316;MT12;BT407;25;1_407_25;exp10;MT12 (wrinkly)
71;32;0;32;1;1;my316;MT12;BT407;25;1_407_25;exp10;MT12 (wrinkly)
74;31;0;31;1;1;my316;MT11;BT247;100;2_247_100;exp10;MT11 (ancestral-like, slightly fuzzy)
74;27;0;27;1;3;my316;MT11;BT247;100;2_247_100;exp10;MT11 (ancestral-like, slightly fuzzy)
